scheme,binary,nprocs,repeat,Nel,R,Dt,T,Theta,Beta,Gamma,returncode,seconds
theta-0.5,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,4,1,640,1,0.0008,0.5,0.5,,,0,186.978993
theta-0.5,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,4,2,640,1,0.0008,0.5,0.5,,,0,188.019791
theta-0.5,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,4,3,640,1,0.0008,0.5,0.5,,,0,187.073764
theta-1.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,4,1,640,1,0.0008,0.5,1.0,,,0,191.775023
theta-1.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,4,2,640,1,0.0008,0.5,1.0,,,0,197.488884
theta-1.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,4,3,640,1,0.0008,0.5,1.0,,,0,190.574084
newmark-0.00,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,4,1,640,1,0.0008,0.5,,0.0,0.5,0,39.467501
newmark-0.00,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,4,2,640,1,0.0008,0.5,,0.0,0.5,0,39.554896
newmark-0.00,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,4,3,640,1,0.0008,0.5,,0.0,0.5,0,39.814389
newmark-0.25,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,4,1,640,1,0.0008,0.5,,0.25,0.5,0,87.002792
newmark-0.25,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,4,2,640,1,0.0008,0.5,,0.25,0.5,0,85.814258
newmark-0.25,/scratch_local/nmpde-wave-equation_9807.login01/build/main-newmark,4,3,640,1,0.0008,0.5,,0.25,0.5,0,87.295378
theta-0.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,8,1,640,1,0.0008,0.5,0.0,,,0,57.275495
theta-0.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,8,2,640,1,0.0008,0.5,0.0,,,0,57.058385
theta-0.0,/scratch_local/nmpde-wave-equation_9807.login01/build/main-theta,8,3,640,1,0.0008,0.5,0.0,,,0,57.249225
