scheme,binary,nprocs,repeat,Nel,R,Dt,T,Theta,Beta,Gamma,returncode,seconds
newmark-0.00,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,16,2,640,1,0.00008,0.05,,0.0,0.5,0,31.346107
newmark-0.00,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,16,3,640,1,0.00008,0.05,,0.0,0.5,0,31.411981
newmark-0.25,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,16,1,640,1,0.00008,0.05,,0.25,0.5,0,27.603477
newmark-0.25,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,16,2,640,1,0.00008,0.05,,0.25,0.5,0,27.770668
newmark-0.25,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,16,3,640,1,0.00008,0.05,,0.25,0.5,0,27.568106
theta-0.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,32,1,640,1,0.00008,0.05,0.0,,,0,39.883142
theta-0.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,32,2,640,1,0.00008,0.05,0.0,,,0,40.839276
theta-0.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,32,3,640,1,0.00008,0.05,0.0,,,0,39.613910
theta-0.5,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,32,1,640,1,0.00008,0.05,0.5,,,0,37.216794
theta-0.5,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,32,2,640,1,0.00008,0.05,0.5,,,0,37.251457
theta-0.5,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,32,3,640,1,0.00008,0.05,0.5,,,0,37.094612
theta-1.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,32,1,640,1,0.00008,0.05,1.0,,,0,39.049140
theta-1.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,32,2,640,1,0.00008,0.05,1.0,,,0,38.218694
theta-1.0,/scratch_local/nmpde-wave-equation_9847.login01/build/main-theta,32,3,640,1,0.00008,0.05,1.0,,,0,37.931658
newmark-0.00,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,32,1,640,1,0.00008,0.05,,0.0,0.5,0,22.800183
newmark-0.00,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,32,2,640,1,0.00008,0.05,,0.0,0.5,0,22.447951
newmark-0.00,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,32,3,640,1,0.00008,0.05,,0.0,0.5,0,22.604242
newmark-0.25,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,32,1,640,1,0.00008,0.05,,0.25,0.5,0,20.015651
newmark-0.25,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,32,2,640,1,0.00008,0.05,,0.25,0.5,0,20.188994
newmark-0.25,/scratch_local/nmpde-wave-equation_9847.login01/build/main-newmark,32,3,640,1,0.00008,0.05,,0.25,0.5,0,20.225928
