scheme,binary,nprocs,repeat,Nel,R,Dt,T,Theta,Beta,Gamma,returncode,seconds
theta-0.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,4,1,640,1,0.0008,0.5,0.0,,,0,102.693254
theta-0.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,4,2,640,1,0.0008,0.5,0.0,,,0,102.902829
theta-0.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,4,3,640,1,0.0008,0.5,0.0,,,0,101.926727
theta-0.5,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,4,1,640,1,0.0008,0.5,0.5,,,0,186.739716
theta-0.5,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,4,2,640,1,0.0008,0.5,0.5,,,0,189.073959
theta-0.5,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,4,3,640,1,0.0008,0.5,0.5,,,0,187.578468
theta-1.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,4,1,640,1,0.0008,0.5,1.0,,,0,192.370092
theta-1.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,4,2,640,1,0.0008,0.5,1.0,,,0,192.112332
theta-1.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,4,3,640,1,0.0008,0.5,1.0,,,0,194.311383
newmark-0.00,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,4,1,640,1,0.0008,0.5,,0.0,0.5,0,34.135162
newmark-0.00,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,4,2,640,1,0.0008,0.5,,0.0,0.5,0,33.754097
newmark-0.00,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,4,3,640,1,0.0008,0.5,,0.0,0.5,0,33.800052
newmark-0.25,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,4,1,640,1,0.0008,0.5,,0.25,0.5,0,96.048593
newmark-0.25,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,4,2,640,1,0.0008,0.5,,0.25,0.5,0,95.730524
newmark-0.25,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,4,3,640,1,0.0008,0.5,,0.25,0.5,0,95.459363
theta-0.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,8,1,640,1,0.0008,0.5,0.0,,,0,57.356196
theta-0.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,8,2,640,1,0.0008,0.5,0.0,,,0,58.255913
theta-0.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,8,3,640,1,0.0008,0.5,0.0,,,0,57.218730
theta-0.5,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,8,1,640,1,0.0008,0.5,0.5,,,0,103.625420
theta-0.5,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,8,2,640,1,0.0008,0.5,0.5,,,0,104.010896
theta-0.5,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,8,3,640,1,0.0008,0.5,0.5,,,0,103.163927
theta-1.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,8,1,640,1,0.0008,0.5,1.0,,,0,105.884863
theta-1.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,8,2,640,1,0.0008,0.5,1.0,,,0,105.667033
theta-1.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,8,3,640,1,0.0008,0.5,1.0,,,0,107.277497
newmark-0.00,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,8,1,640,1,0.0008,0.5,,0.0,0.5,0,20.313104
newmark-0.00,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,8,2,640,1,0.0008,0.5,,0.0,0.5,0,20.264971
newmark-0.00,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,8,3,640,1,0.0008,0.5,,0.0,0.5,0,20.263796
newmark-0.25,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,8,1,640,1,0.0008,0.5,,0.25,0.5,0,54.131548
newmark-0.25,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,8,2,640,1,0.0008,0.5,,0.25,0.5,0,53.974801
newmark-0.25,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,8,3,640,1,0.0008,0.5,,0.25,0.5,0,54.358941
theta-0.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,16,1,640,1,0.0008,0.5,0.0,,,0,32.742269
theta-0.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,16,2,640,1,0.0008,0.5,0.0,,,0,32.375844
theta-0.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,16,3,640,1,0.0008,0.5,0.0,,,0,32.142353
theta-0.5,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,16,1,640,1,0.0008,0.5,0.5,,,0,56.571839
theta-0.5,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,16,2,640,1,0.0008,0.5,0.5,,,0,60.269045
theta-0.5,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,16,3,640,1,0.0008,0.5,0.5,,,0,59.434566
theta-1.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,16,1,640,1,0.0008,0.5,1.0,,,0,58.435820
theta-1.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,16,2,640,1,0.0008,0.5,1.0,,,0,58.581586
theta-1.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,16,3,640,1,0.0008,0.5,1.0,,,0,58.291160
newmark-0.00,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,16,1,640,1,0.0008,0.5,,0.0,0.5,0,12.328133
newmark-0.00,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,16,2,640,1,0.0008,0.5,,0.0,0.5,0,12.317912
newmark-0.00,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,16,3,640,1,0.0008,0.5,,0.0,0.5,0,12.376152
newmark-0.25,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,16,1,640,1,0.0008,0.5,,0.25,0.5,0,31.381468
newmark-0.25,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,16,2,640,1,0.0008,0.5,,0.25,0.5,0,32.060792
newmark-0.25,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,16,3,640,1,0.0008,0.5,,0.25,0.5,0,30.837929
theta-0.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,32,1,640,1,0.0008,0.5,0.0,,,0,22.778969
theta-0.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,32,2,640,1,0.0008,0.5,0.0,,,0,23.273128
theta-0.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,32,3,640,1,0.0008,0.5,0.0,,,0,24.661470
theta-0.5,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,32,1,640,1,0.0008,0.5,0.5,,,0,40.142449
theta-0.5,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,32,2,640,1,0.0008,0.5,0.5,,,0,39.549347
theta-0.5,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,32,3,640,1,0.0008,0.5,0.5,,,0,38.276479
theta-1.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,32,1,640,1,0.0008,0.5,1.0,,,0,39.806405
theta-1.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,32,2,640,1,0.0008,0.5,1.0,,,0,39.985783
theta-1.0,/scratch_local/nmpde-wave-equation_9420.login01/build/main-theta,32,3,640,1,0.0008,0.5,1.0,,,0,39.705472
newmark-0.00,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,32,1,640,1,0.0008,0.5,,0.0,0.5,0,10.232474
newmark-0.00,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,32,2,640,1,0.0008,0.5,,0.0,0.5,0,10.287332
newmark-0.00,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,32,3,640,1,0.0008,0.5,,0.0,0.5,0,10.190990
newmark-0.25,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,32,1,640,1,0.0008,0.5,,0.25,0.5,0,22.706081
newmark-0.25,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,32,2,640,1,0.0008,0.5,,0.25,0.5,0,22.482784
newmark-0.25,/scratch_local/nmpde-wave-equation_9420.login01/build/main-newmark,32,3,640,1,0.0008,0.5,,0.25,0.5,0,22.609509
