h,N_el_x,N_el_y,r,dt,T,method,theta,beta,gamma,rel_L2_error_final,rel_H1_error_final,elapsed_time_s
0.05,20,20,1,0.001,1,theta-standing-mode-wsol,0.500000,N/A,N/A,5.360755e-02,9.039570e-02,1.057
0.05,20,20,2,0.1,1,theta-standing-mode-wsol,0.500000,N/A,N/A,4.447543e-01,4.447566e-01,0.034
0.05,20,20,2,0.05,1,theta-standing-mode-wsol,0.500000,N/A,N/A,6.544037e-02,6.548948e-02,0.046
0.05,20,20,2,0.01,1,theta-standing-mode-wsol,0.500000,N/A,N/A,2.595150e-03,3.529125e-03,0.219
0.05,20,20,2,0.005,1,theta-standing-mode-wsol,0.500000,N/A,N/A,6.149492e-04,2.464233e-03,0.400
0.05,20,20,2,0.001,1,theta-standing-mode-wsol,0.500000,N/A,N/A,7.515559e-05,2.386173e-03,2.168
0.025,40,40,1,0.1,1,theta-standing-mode-wsol,0.500000,N/A,N/A,4.248792e-01,4.254571e-01,0.033
0.025,40,40,1,0.05,1,theta-standing-mode-wsol,0.500000,N/A,N/A,5.222136e-02,6.598665e-02,0.050
0.025,40,40,1,0.01,1,theta-standing-mode-wsol,0.500000,N/A,N/A,1.079162e-02,3.943401e-02,0.201
0.025,40,40,1,0.005,1,theta-standing-mode-wsol,0.500000,N/A,N/A,1.277590e-02,3.995052e-02,0.411
0.025,40,40,1,0.001,1,theta-standing-mode-wsol,0.500000,N/A,N/A,1.341133e-02,4.013530e-02,2.111
0.025,40,40,2,0.1,1,theta-standing-mode-wsol,0.500000,N/A,N/A,4.448263e-01,4.448264e-01,0.124
0.025,40,40,2,0.05,1,theta-standing-mode-wsol,0.500000,N/A,N/A,6.548712e-02,6.549017e-02,0.150
0.025,40,40,2,0.01,1,theta-standing-mode-wsol,0.500000,N/A,N/A,2.641543e-03,2.707729e-03,0.535
0.025,40,40,2,0.005,1,theta-standing-mode-wsol,0.500000,N/A,N/A,6.582607e-04,8.869869e-04,1.063
0.025,40,40,2,0.001,1,theta-standing-mode-wsol,0.500000,N/A,N/A,2.490230e-05,5.943965e-04,5.188
0.0125,80,80,1,0.1,1,theta-standing-mode-wsol,0.500000,N/A,N/A,4.398371e-01,4.399684e-01,0.092
