h,N_el_x,N_el_y,r,dt,T,method,theta,beta,gamma,rel_L2_error_avg,rel_H1_error_avg,elapsed_time_s
0.05,20,20,2,0.005,1,theta-standing-mode-wsol,0.000000,N/A,N/A,2.481042e+27,1.192053e+29,1.147
0.05,20,20,2,0.001,1,theta-standing-mode-wsol,0.000000,N/A,N/A,1.072878e+03,5.148282e+04,5.641
0.025,40,40,1,0.1,1,theta-standing-mode-wsol,0.000000,N/A,N/A,5.105216e+04,1.904019e+06,0.071
0.025,40,40,1,0.05,1,theta-standing-mode-wsol,0.000000,N/A,N/A,6.802962e+10,2.813769e+12,0.135
0.025,40,40,1,0.01,1,theta-standing-mode-wsol,0.000000,N/A,N/A,6.056083e+24,2.648372e+26,0.656
0.025,40,40,1,0.005,1,theta-standing-mode-wsol,0.000000,N/A,N/A,4.739797e+19,2.090183e+21,1.389
0.025,40,40,1,0.001,1,theta-standing-mode-wsol,0.000000,N/A,N/A,1.815638e-02,5.939679e-01,6.749
0.025,40,40,2,0.1,1,theta-standing-mode-wsol,0.000000,N/A,N/A,6.470095e+09,6.205804e+11,0.151
0.025,40,40,2,0.05,1,theta-standing-mode-wsol,0.000000,N/A,N/A,5.044998e+19,4.847404e+21,0.221
0.025,40,40,2,0.01,1,theta-standing-mode-wsol,0.000000,N/A,N/A,-nan,-nan,1.125
0.025,40,40,2,0.005,1,theta-standing-mode-wsol,0.000000,N/A,N/A,-nan,-nan,2.295
0.025,40,40,2,0.001,1,theta-standing-mode-wsol,0.000000,N/A,N/A,2.565897e+29,2.470965e+31,11.733
0.0125,80,80,1,0.1,1,theta-standing-mode-wsol,0.000000,N/A,N/A,2.499883e+06,1.885259e+08,0.180
0.0125,80,80,1,0.05,1,theta-standing-mode-wsol,0.000000,N/A,N/A,3.756669e+15,3.242181e+17,0.342
0.0125,80,80,1,0.01,1,theta-standing-mode-wsol,0.000000,N/A,N/A,-nan,-nan,1.664
