h,N_el_x,N_el_y,r,dt,T,method,theta,beta,gamma,rel_L2_error_final,rel_H1_error_final,elapsed_time_s
0.00625,160,160,1,0.002,1,theta-conv-params,0.500000,N/A,N/A,7.347654e-04,9.599461e-03,3.851
0.00625,160,160,1,0.001,1,theta-conv-params,0.500000,N/A,N/A,8.140231e-04,9.605095e-03,7.620
0.00625,160,160,1,0.0005,1,theta-conv-params,0.500000,N/A,N/A,8.409309e-04,9.607164e-03,15.301
0.00625,160,160,1,0.0002,1,theta-conv-params,0.500000,N/A,N/A,8.422333e-04,9.607261e-03,37.753
0.00625,160,160,1,0.0001,1,theta-conv-params,0.500000,N/A,N/A,8.416041e-04,9.607211e-03,76.522
0.00625,160,160,2,0.1,1,theta-conv-params,0.500000,N/A,N/A,4.448311e-01,4.448311e-01,0.378
0.00625,160,160,2,0.05,1,theta-conv-params,0.500000,N/A,N/A,6.549024e-02,6.549025e-02,0.600
0.00625,160,160,2,0.02,1,theta-conv-params,0.500000,N/A,N/A,1.056618e-02,1.056624e-02,1.261
0.00625,160,160,2,0.01,1,theta-conv-params,0.500000,N/A,N/A,2.644683e-03,2.644943e-03,2.354
0.00625,160,160,2,0.005,1,theta-conv-params,0.500000,N/A,N/A,6.613586e-04,6.623968e-04,4.344
0.00625,160,160,2,0.002,1,theta-conv-params,0.500000,N/A,N/A,1.058160e-04,1.121299e-04,10.842
0.00625,160,160,2,0.001,1,theta-conv-params,0.500000,N/A,N/A,2.644560e-05,4.556685e-05,21.226
0.00625,160,160,2,0.0005,1,theta-conv-params,0.500000,N/A,N/A,6.667029e-06,3.773138e-05,41.067
0.00625,160,160,2,0.0002,1,theta-conv-params,0.500000,N/A,N/A,1.089991e-06,3.747424e-05,101.947
0.00625,160,160,2,0.0001,1,theta-conv-params,0.500000,N/A,N/A,5.362774e-07,3.847820e-05,202.416
0.003125,320,320,1,0.1,1,theta-conv-params,0.500000,N/A,N/A,4.445188e-01,4.445268e-01,0.394
0.003125,320,320,1,0.05,1,theta-conv-params,0.500000,N/A,N/A,6.528271e-02,6.548174e-02,0.625
0.003125,320,320,1,0.02,1,theta-conv-params,0.500000,N/A,N/A,1.035672e-02,1.143125e-02,1.304
0.003125,320,320,1,0.01,1,theta-conv-params,0.500000,N/A,N/A,2.434970e-03,5.382872e-03,2.501
0.003125,320,320,1,0.005,1,theta-conv-params,0.500000,N/A,N/A,4.516816e-04,4.812396e-03,5.059
0.003125,320,320,1,0.002,1,theta-conv-params,0.500000,N/A,N/A,1.045695e-04,4.789633e-03,12.318
0.003125,320,320,1,0.001,1,theta-conv-params,0.500000,N/A,N/A,1.837013e-04,4.791634e-03,24.400
0.003125,320,320,1,0.0005,1,theta-conv-params,0.500000,N/A,N/A,2.052406e-04,4.792406e-03,47.888
0.003125,320,320,1,0.0002,1,theta-conv-params,0.500000,N/A,N/A,2.097702e-04,4.792584e-03,119.383
0.003125,320,320,1,0.0001,1,theta-conv-params,0.500000,N/A,N/A,2.102099e-04,4.792609e-03,237.798
0.003125,320,320,2,0.1,1,theta-conv-params,0.500000,N/A,N/A,4.448311e-01,4.448311e-01,1.257
0.003125,320,320,2,0.05,1,theta-conv-params,0.500000,N/A,N/A,6.549025e-02,6.549025e-02,2.090
0.003125,320,320,2,0.02,1,theta-conv-params,0.500000,N/A,N/A,1.056619e-02,1.056619e-02,4.685
0.003125,320,320,2,0.01,1,theta-conv-params,0.500000,N/A,N/A,2.644695e-03,2.644709e-03,8.811
0.003125,320,320,2,0.005,1,theta-conv-params,0.500000,N/A,N/A,6.613701e-04,6.614333e-04,16.583
0.003125,320,320,2,0.002,1,theta-conv-params,0.500000,N/A,N/A,1.058274e-04,1.062426e-04,40.578
0.003125,320,320,2,0.001,1,theta-conv-params,0.500000,N/A,N/A,2.645702e-05,2.814417e-05,77.762
0.003125,320,320,2,0.0005,1,theta-conv-params,0.500000,N/A,N/A,6.675851e-06,1.234477e-05,154.961
0.003125,320,320,2,0.0002,1,theta-conv-params,0.500000,N/A,N/A,1.096916e-06,1.567970e-05,371.825
0.1,10,10,1,0.1,1,theta-conv-params,1.000000,N/A,N/A,1.129683e+00,1.129859e+00,0.031
0.1,10,10,1,0.05,1,theta-conv-params,1.000000,N/A,N/A,3.585456e-01,3.718490e-01,0.021
0.1,10,10,1,0.02,1,theta-conv-params,1.000000,N/A,N/A,3.207164e-01,3.374074e-01,0.038
0.1,10,10,1,0.01,1,theta-conv-params,1.000000,N/A,N/A,2.783985e-01,3.000436e-01,0.064
0.1,10,10,1,0.005,1,theta-conv-params,1.000000,N/A,N/A,2.488403e-01,2.749604e-01,0.120
0.1,10,10,1,0.002,1,theta-conv-params,1.000000,N/A,N/A,2.279838e-01,2.579298e-01,0.285
0.1,10,10,1,0.001,1,theta-conv-params,1.000000,N/A,N/A,2.204737e-01,2.519611e-01,0.554
0.1,10,10,1,0.0005,1,theta-conv-params,1.000000,N/A,N/A,2.184020e-01,2.503764e-01,1.099
0.1,10,10,1,0.0002,1,theta-conv-params,1.000000,N/A,N/A,2.149725e-01,2.476696e-01,2.733
0.1,10,10,1,0.0001,1,theta-conv-params,1.000000,N/A,N/A,2.138246e-01,2.467680e-01,5.498
0.1,10,10,2,0.1,1,theta-conv-params,1.000000,N/A,N/A,1.241072e+00,1.241074e+00,0.021
0.1,10,10,2,0.05,1,theta-conv-params,1.000000,N/A,N/A,2.256918e-01,2.258094e-01,0.031
0.1,10,10,2,0.02,1,theta-conv-params,1.000000,N/A,N/A,1.446059e-01,1.448297e-01,0.059
0.1,10,10,2,0.01,1,theta-conv-params,1.000000,N/A,N/A,8.505134e-02,8.548592e-02,0.109
0.1,10,10,2,0.005,1,theta-conv-params,1.000000,N/A,N/A,4.638791e-02,4.724786e-02,0.202
0.1,10,10,2,0.002,1,theta-conv-params,1.000000,N/A,N/A,1.992157e-02,2.195304e-02,0.483
0.1,10,10,2,0.001,1,theta-conv-params,1.000000,N/A,N/A,1.052176e-02,1.405170e-02,0.957
0.1,10,10,2,0.0005,1,theta-conv-params,1.000000,N/A,N/A,5.726951e-03,1.098525e-02,1.907
0.1,10,10,2,0.0002,1,theta-conv-params,1.000000,N/A,N/A,2.823688e-03,9.879563e-03,4.762
0.1,10,10,2,0.0001,1,theta-conv-params,1.000000,N/A,N/A,1.871369e-03,9.721497e-03,9.449
0.05,20,20,1,0.1,1,theta-conv-params,1.000000,N/A,N/A,1.212733e+00,1.212843e+00,0.026
0.05,20,20,1,0.05,1,theta-conv-params,1.000000,N/A,N/A,2.590240e-01,2.651809e-01,0.034
0.05,20,20,1,0.02,1,theta-conv-params,1.000000,N/A,N/A,1.886401e-01,1.986461e-01,0.063
0.05,20,20,1,0.01,1,theta-conv-params,1.000000,N/A,N/A,1.333256e-01,1.490119e-01,0.113
0.05,20,20,1,0.005,1,theta-conv-params,1.000000,N/A,N/A,9.689754e-02,1.191818e-01,0.205
0.05,20,20,1,0.002,1,theta-conv-params,1.000000,N/A,N/A,7.180787e-02,1.012320e-01,0.496
0.05,20,20,1,0.001,1,theta-conv-params,1.000000,N/A,N/A,6.286951e-02,9.562786e-02,0.966
0.05,20,20,1,0.0005,1,theta-conv-params,1.000000,N/A,N/A,5.874489e-02,9.322385e-02,1.904
0.05,20,20,1,0.0002,1,theta-conv-params,1.000000,N/A,N/A,5.568667e-02,9.151582e-02,4.732
0.05,20,20,1,0.0001,1,theta-conv-params,1.000000,N/A,N/A,5.466180e-02,9.095942e-02,9.414
0.05,20,20,2,0.1,1,theta-conv-params,1.000000,N/A,N/A,1.241479e+00,1.241479e+00,0.049
0.05,20,20,2,0.05,1,theta-conv-params,1.000000,N/A,N/A,2.252200e-01,2.252275e-01,0.059
0.05,20,20,2,0.02,1,theta-conv-params,1.000000,N/A,N/A,1.439812e-01,1.439955e-01,0.103
0.05,20,20,2,0.01,1,theta-conv-params,1.000000,N/A,N/A,8.436597e-02,8.439383e-02,0.168
0.05,20,20,2,0.005,1,theta-conv-params,1.000000,N/A,N/A,4.566963e-02,4.572551e-02,0.312
0.05,20,20,2,0.002,1,theta-conv-params,1.000000,N/A,N/A,1.917967e-02,1.931979e-02,0.709
0.05,20,20,2,0.001,1,theta-conv-params,1.000000,N/A,N/A,9.766524e-03,1.004408e-02,1.377
0.05,20,20,2,0.0005,1,theta-conv-params,1.000000,N/A,N/A,4.949771e-03,5.482010e-03,2.722
0.05,20,20,2,0.0002,1,theta-conv-params,1.000000,N/A,N/A,2.019977e-03,3.109044e-03,6.709
0.05,20,20,2,0.0001,1,theta-conv-params,1.000000,N/A,N/A,1.038490e-03,2.584871e-03,13.361
0.025,40,40,1,0.1,1,theta-conv-params,1.000000,N/A,N/A,1.234262e+00,1.234294e+00,0.045
0.025,40,40,1,0.05,1,theta-conv-params,1.000000,N/A,N/A,2.336765e-01,2.355141e-01,0.060
0.025,40,40,1,0.02,1,theta-conv-params,1.000000,N/A,N/A,1.551436e-01,1.584861e-01,0.105
0.025,40,40,1,0.01,1,theta-conv-params,1.000000,N/A,N/A,9.659832e-02,1.026172e-01,0.183
0.025,40,40,1,0.005,1,theta-conv-params,1.000000,N/A,N/A,5.846543e-02,6.870933e-02,0.342
0.025,40,40,1,0.002,1,theta-conv-params,1.000000,N/A,N/A,3.232353e-02,4.920579e-02,0.792
0.025,40,40,1,0.001,1,theta-conv-params,1.000000,N/A,N/A,2.302939e-02,4.397080e-02,1.552
0.025,40,40,1,0.0005,1,theta-conv-params,1.000000,N/A,N/A,1.838669e-02,4.188816e-02,3.062
0.025,40,40,1,0.0002,1,theta-conv-params,1.000000,N/A,N/A,1.542561e-02,4.078082e-02,7.615
0.025,40,40,1,0.0001,1,theta-conv-params,1.000000,N/A,N/A,1.443307e-02,4.045147e-02,15.187
0.025,40,40,2,0.1,1,theta-conv-params,1.000000,N/A,N/A,1.241505e+00,1.241505e+00,0.093
0.025,40,40,2,0.05,1,theta-conv-params,1.000000,N/A,N/A,2.251901e-01,2.251906e-01,0.136
0.025,40,40,2,0.02,1,theta-conv-params,1.000000,N/A,N/A,1.439417e-01,1.439426e-01,0.261
0.025,40,40,2,0.01,1,theta-conv-params,1.000000,N/A,N/A,8.432261e-02,8.432436e-02,0.479
0.025,40,40,2,0.005,1,theta-conv-params,1.000000,N/A,N/A,4.562425e-02,4.562777e-02,0.854
